"","pos","last","first","numfirstlast","firstlast","index","player.id","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots"
"14","D","Adam","Austin","[TSN] Austin Adam","Austin Adam",28,14,"adamxau95",0,0,0,0,0,"1995-03-07","6-4","187","R"
"15","L","Adam","Luke","[TSN] Luke Adam","Luke Adam",29,15,"adamxlu90",0,0,0,0,0,"1990-06-18","6-2","206","L"
"16","L","Adams","Bryan","[TSN] Bryan Adams","Bryan Adams",33,16,"adamsbr77",0,0,0,0,0,"1977-03-20","6-0","185","L"
"17","C","Adams","Craig","[TSN] Craig Adams","Craig Adams",34,17,"adamscr77",0,0,0,0,0,"1977-04-26","6-0","200","R"
"18","D","Adams","John","[TSN] John Adams","John Adams",38,18,"adamsjo82",0,0,0,0,0,"1982-12-21","6-2","188","L"
"19","C","Adams","Kevyn","[TSN] Kevyn Adams","Kevyn Adams",39,19,"adamske74",0,0,0,0,0,"1974-10-08","6-1","200","R"
"20","D","Adams","Mark","[TSN] Mark Adams","Mark Adams",42,20,"adamsma91",0,0,0,0,0,"1991-05-23","6-3","210","R"
"21","L","Addison","Jeremiah","[CAP] Jeremiah Addison","Jeremiah Addison",44,21,"addisje96",NA,NA,NA,NA,NA,"1996-10-21",NA,NA,NA
"22","G","Aebischer","David","[TSN] David Aebischer","David Aebischer",45,22,"aebisda78",0,0,0,0,0,"1978-02-07","6-1","185","L"
"23","LR","Afanasenkov","Dimitry","[TSN] Dimitry Afanasenkov","Dimitry Afanasenkov",49,23,"afanadi80",0,0,0,0,0,"1980-05-12","6-2","209","R"
"24","R","Afinogenov","Maxim","[TSN] Maxim Afinogenov","Maxim Afinogenov",52,24,"afinoma79",0,0,0,0,0,"1979-09-04","6-0","190","L"
"25","R","Agarkov","Pavel","[CAP] AGARKOV, PAVEL","Pavel Agarkov",54,25,"agarkpa75",0,0,0,0,0,"1975-04-23",NA,NA,NA
"26","L","Agostino","Kenny","[TSN] Kenny Agostino","Kenny Agostino",55,26,"agostke92",0,0,0,0,0,"1992-04-30","6-1","200","L"
"27","LC","Agozzino","Andrew","[TSN] Andrew Agozzino","Andrew Agozzino",58,27,"agozzan91",0,0,0,0,0,"1991-01-03","5-9","185","L"
"28","L","Ahl","Filip","[CAP] Filip Ahl","Filip Ahl",61,28,"ahlxxfi97",NA,NA,NA,NA,NA,"1997-06-12",NA,NA,NA
"29","D","Ahnelov","Jonas","[TSN] Jonas Ahnelov","Jonas Ahnelov",62,29,"ahneljo87",0,0,0,0,0,"1987-12-11","6-2","220","L"
"30","R","Aho","Sebastian","[CAP] Sebastian Aho","Sebastian Aho",64,30,"ahoxxse97",NA,NA,NA,NA,NA,"1997-07-26",NA,NA,NA
"31","G","Ahonen","Ari","31 ARI AHONEN","Ari Ahonen",65,31,"ahonear81",NA,NA,NA,NA,NA,"1981-02-06",NA,NA,NA
"32","D","Aiello","Anthony","[TSN] Anthony Aiello","Anthony Aiello",66,32,"aiellan86",0,0,0,0,0,"1986-05-19","6-1","187","L"
"33","C","Ainali","Aleksi","[TSN] Aleksi Ainali","Aleksi Ainali",67,33,"ainalal95",0,0,0,0,0,"1995-04-12","5-11","202","L"
"34","D","Aitken","Johnathan","[TSN] Johnathan Aitken","Johnathan Aitken",68,34,"aitkejo78",0,0,0,0,0,"1978-05-24","6-4","230","L"
"35","G","Aittokallio","Sami","[TSN] Sami Aittokallio","Sami Aittokallio",70,35,"aittosa92",0,0,0,0,0,"1992-08-06","6-1","174","L"
"36","G","Akerlund","Magnus","[TSN] Magnus Akerlund","Magnus Akerlund",74,36,"akerlma86",0,0,0,0,0,"1986-04-25","6-1","183","R"
"37","R","Akeson","Jason","[TSN] Jason Akeson","Jason Akeson",75,37,"akesoja90",0,0,0,0,0,"1990-06-03","5-10","190","R"
"38","R","Alatalo","Mika","[TSN] Mika Alatalo","Mika Alatalo",78,38,"alatami71",0,0,0,0,0,"1971-06-11","6-0","202","L"
"39","D","Albelin","Tommy","[TSN] Tommy Albelin","Tommy Albelin",79,39,"albelto64",0,0,0,0,0,"1964-05-21","6-2","195","L"
"40","D","Albers","Paul","[TSN] Paul Albers","Paul Albers",81,40,"alberpa85",0,0,0,0,0,"1985-10-15","6-1","189","L"
"41","C","Albert","John","[TSN] John Albert","John Albert",82,41,"alberjo89",0,0,0,0,0,"1989-01-19","5-11","190","L"
"42","D","Alberts","Andrew","[TSN] Andrew Alberts","Andrew Alberts",85,42,"alberan81",0,0,0,0,0,"1981-06-30","6-5","218","L"
"43","L","Alcen","Johan","[TSN] Johan Alcen","Johan Alcen",87,43,"alcenjo88",0,0,0,0,0,"1988-03-11","6-1","189","L"
"44","R","Alderson","Brandon","[TSN] Brandon Alderson","Brandon Alderson",88,44,"alderbr92",0,0,0,0,0,"1992-01-22","6-4","190","R"
"45","D","Aldridge","Keith","[TSN] Keith Aldridge","Keith Aldridge",90,45,"aldrike73",0,0,0,0,0,"1973-07-20","5-11","185","R"
"46","R","Aldworth","Thomas","[TSN] Thomas Aldworth","Thomas Aldworth",91,46,"aldwoth95",0,0,0,0,0,"1995-04-30","6-0","179","R"
"47","D","Alen","Juha","[TSN] Juha Alen","Juha Alen",92,47,"alenxju81",0,0,0,0,0,"1981-10-25","6-4","218","L"
"48","D","Alexandrov","Denis","[TSN] Denis Alexandrov","Denis Alexandrov",93,48,"alexade95",0,0,0,0,0,"1995-01-17","6-0","191","L"
"49","R","Alexandrov","Viktor","[TSN] Victor Alexandrov","Viktor Alexandrov",94,49,"alexavi85",0,0,0,0,0,"1985-12-28","5-11","183","L"
"50","D","Alexandrov","Yuri","[TSN] Yuri Alexandrov","Yuri Alexandrov",96,50,"alexayu88",0,0,0,0,0,"1988-06-24","6-0","185","L"
"51","RL","Alexeev","Nikita","[TSN] Nikita Alexeev","Nikita Alexeev",97,51,"alexeni81",0,0,0,0,0,"1981-12-27","6-5","227","L"
"52","R","Alfredsson","Daniel","[TSN] Daniel Alfredsson","Daniel Alfredsson",100,52,"alfreda72",0,0,0,0,0,"1972-12-11","5-11","203","R"
"53","R","Aliu","Akim","[TSN] Akim Aliu","Akim Aliu",102,53,"aliuxak89",0,0,0,0,0,"1989-04-24","6-4","225","R"
"54","C","Allard","Jean-Simon","[TSN] Jean-Simon Allard","Jean-Simon Allard",104,54,"allarje89",0,0,0,0,0,"1989-05-24","6-2","186","R"
"55","D","Allen","Bobby","[TSN] Bobby Allen","Bobby Allen",105,55,"allenbo78",0,0,0,0,0,"1978-11-14","6-0","201","L"
"56","D","Allen","Bryan","[TSN] Bryan Allen","Bryan Allen",108,56,"allenbr80",0,0,0,0,0,"1980-08-21","6-5","224","L"
"57","D","Allen","Conor","[TSN] Conor Allen","Conor Allen",113,57,"allenco90",0,0,0,0,0,"1990-01-31","6-1","210","L"
"58","C","Allen","Evan","[TSN] Evan Allen","Evan Allen",116,58,"allenev95",0,0,0,0,0,"1995-02-03","5-10","200","R"
"59","G","Allen","Jake","[TSN] Jake Allen","Jake Allen",117,59,"allenja90",0,0,0,0,0,"1990-08-07","6-2","195","L"
"60","D","Allison","Jamie","[TSN] Jamie Allison","Jamie Allison",120,60,"allisja750513",0,0,0,0,0,"1975-05-13","6-1","210","L"
"61","C","Allison","Jason","[TSN] Jason Allison","Jason Allison",123,61,"allisja750529",0,0,0,0,0,"1975-05-29","6-3","215","R"
"62","D","Alm","Johan","[TSN] Johan Alm","Johan Alm",125,62,"almxxjo92",0,0,0,0,0,"1992-01-28","6-3","209","L"
"63","CL","Almond","Cody","[TSN] Cody Almond","Cody Almond",127,63,"almonco89",0,0,0,0,0,"1989-07-24","6-2","199","L"
"64","D","Almquist","Adam","[TSN] Adam Almquist","Adam Almquist",131,64,"almquad91",0,0,0,0,0,"1991-02-27","5-11","174","L"
"65","C","Almtorp","Jonas","[TSN] Jonas Almtorp","Jonas Almtorp",134,65,"almtojo83",0,0,0,0,0,"1983-11-17","6-1","189","L"
"66","D","Alt","Mark","[TSN] Mark Alt","Mark Alt",135,66,"altxxma91",0,0,0,0,0,"1991-10-18","6-4","201","R"
"67","L","Altarev","Dimitri","[CAP] ALTAREV, DIMITRI","Dimitri Altarev",138,67,"altardi80",0,0,0,0,0,"1980-08-12",NA,NA,NA
"68","G","Altshuller","Daniel","[TSN] Daniel Altshuller","Daniel Altshuller",139,68,"altshda94",0,0,0,0,0,"1994-07-24","6-3","191","L"
"69","D","Alzner","Karl","[TSN] Karl Alzner","Karl Alzner",141,69,"alzneka88",0,0,0,0,0,"1988-09-24","6-2","217","L"
"70","D","Amadio","Greg","[TSN] Greg Amadio","Greg Amadio",145,70,"amadigr81",0,0,0,0,0,"1981-05-13","6-2","225","L"
"71","C","Amadio","Michael","[TSN] Michael Amadio","Michael Amadio",146,71,"amadimi96",0,0,0,0,0,"1996-05-13","6-1","190","R"
"72","R","Ambroz","Seth","[TSN] Seth Ambroz","Seth Ambroz",148,72,"ambrose93",0,0,0,0,0,"1993-04-03","6-2","209","R"
"73","R","Ambuhl","Andres","[TSN] Andres Ambuhl","Andres Ambuhl",150,73,"ambuhan83",0,0,0,0,0,"1983-09-14","5-10","190","R"
"74","R","Amonte","Tony","[TSN] Tony Amonte","Tony Amonte",151,74,"amontto70",0,0,0,0,0,"1970-08-02","6-0","200","L"
"75","D","Amorosa","Terrance","[TSN] Terrance Amorosa","Terrance Amorosa",154,75,"amorote94",0,0,0,0,0,"1994-11-13","6-1","185","L"
"76","G","Andersen","Frederik","[TSN] Frederik Andersen","Frederik Andersen",156,76,"anderfr89",0,0,0,0,0,"1989-10-02","6-4","230","L"
"77","D","Andersen","Niclas","[TSN] Niclas Andersen","Niclas Andersen",159,77,"anderni88",0,0,0,0,0,"1988-04-28","6-1","207","L"
"78","G","Anderson","Brandon","[TSN] Brandon Anderson","Brandon Anderson",160,78,"anderbr92",0,0,0,0,0,"1992-07-13","6-0","183","L"
"79","D","Anderson","Chad","[TSN] Chad Anderson","Chad Anderson",162,79,"anderch82",0,0,0,0,0,"1982-06-16","6-4","217","R"
"80","G","Anderson","Craig","[TSN] Craig Anderson","Craig Anderson",163,80,"andercr81",0,0,0,0,0,"1981-05-21","6-2","184","L"
"81","C","Anderson","Erik","[TSN] Erik Anderson","Erik Anderson",170,81,"anderer78",0,0,0,0,0,"1978-03-06","5-9","190","L"
"82","D","Anderson","Harlan","[TSN] Harlan Anderson","Harlan Anderson",171,82,"anderha82",0,0,0,0,0,"1982-10-17","6-2","200","R"
"83","G","Anderson","Jon-Paul","[TSN] J.P. Anderson","Jon-Paul Anderson",172,83,"anderjo92",0,0,0,0,0,"1992-04-27","5-11","185","R"
"84","RL","Anderson","Josh","[TSN] Josh Anderson","Josh Anderson",175,84,"anderjo94",0,0,0,0,0,"1994-05-07","6-1","183","L"
"85","R","Anderson","Matt","[TSN] Matt Anderson","Matt Anderson",178,85,"anderma82",0,0,0,0,0,"1982-10-31","5-11","195","R"
"86","D","Anderson","R.J.","[TSN] R.J. Anderson","R.J. Anderson",180,86,"anderrj86",0,0,0,0,0,"1986-07-16","6-0","190","R"
"87","R","Anderson","Stephen","[TSN] Stephen Anderson","Stephen Anderson",181,87,"anderst94",0,0,0,0,0,"1994-12-23","5-11","195","R"
"88","D","Andersson","Rasmus","[CAP] Rasmus Andersson","Rasmus Andersson",182,88,"anderra96",NA,NA,NA,NA,NA,"1996-10-27",NA,NA,NA
"89","D","Andersson","Calle","[TSN] Calle Andersson","Calle Andersson",183,89,"anderca94",0,0,0,0,0,"1994-05-16","6-2","211","R"
"90","C","Andersson","Joakim","[TSN] Joakim Andersson","Joakim Andersson",185,90,"anderjo89",0,0,0,0,0,"1989-02-05","6-2","206","L"
"91","C","Andersson","Johan A.","[TSN] Johan A. Andersson","Johan A. Andersson",189,91,"anderjo84",0,0,0,0,0,"1984-05-18","6-1","201","L"
"92","RL","Andersson","Jonas","[TSN] Jonas Andersson","Jonas Andersson",190,92,"anderjo81",0,0,0,0,0,"1981-02-24","6-3","204","L"
"93","L","Andersson","Niklas","[TSN] Niklas Andersson","Niklas Andersson",192,93,"anderni71",0,0,0,0,0,"1971-05-20","5-9","180","L"
"94","D","Andersson","Peter","[TSN] Peter Andersson","Peter Andersson",193,94,"anderpe91",0,0,0,0,0,"1991-04-13","6-3","194","L"
"95","CL","Andreoff","Andy","[TSN] Andy Andreoff","Andy Andreoff",195,95,"andrean91",0,0,0,0,0,"1991-05-17","6-1","201","L"
"96","C","Andrews","Bobby","[TSN] Bobby Andrews","Bobby Andrews",198,96,"andrebo78",0,0,0,0,0,"1978-01-05","6-1","200","L"
"97","L","Andrews","Brent","[TSN] Brent Andrews","Brent Andrews",199,97,"andrebr93",0,0,0,0,0,"1993-01-19","6-2","200","L"
"98","L","Andreychuk","Dave","[TSN] Dave Andreychuk","Dave Andreychuk",200,98,"andreda63",0,0,0,0,0,"1963-09-29","6-4","220","R"
"99","RL","Andrighetto","Sven","[TSN] Sven Andrighetto","Sven Andrighetto",202,99,"andrisv93",0,0,0,0,0,"1993-03-21","5-9","188","L"
"100","LR","Andronov","Sergei","[TSN] Sergey Andronov","Sergei Andronov",205,100,"androse89",0,0,0,0,0,"1989-07-19","6-2","190","L"
"101","D","Aneloski","Bryce","[TSN] Bryce Aneloski","Bryce Aneloski",207,101,"anelobr90",0,0,0,0,0,"1990-04-27","6-2","197","R"
"102","L","Angelidis","Mike","[TSN] Mike Angelidis","Mike Angelidis",208,102,"angelmi85",0,0,0,0,0,"1985-06-27","6-1","212","L"
"103","C","Angello","Anthony","[CAP] ANGELLO, ANTHONY","Anthony Angello",213,103,"angelan96",0,0,0,0,0,"1996-03-06",NA,NA,NA
"104","L","Angelstad","Mel","[TSN] Mel Angelstad","Mel Angelstad",214,104,"angelme72",0,0,0,0,0,"1972-10-31","6-2","214","L"
"105","D","Anikeyenko","Vitaly","[TSN] Vitaly Anikeyenko","Vitaly Anikeyenko",216,105,"anikevi87",0,0,0,0,0,"1987-01-02","6-3","198","R"
"106","C","Anisimov","Artem","[TSN] Artem Anisimov","Artem Anisimov",217,106,"anisiar88",0,0,0,0,0,"1988-05-24","6-4","200","L"
"107","L","Anshakov","Sergei","[TSN] Sergei Anshakov","Sergei Anshakov",220,107,"anshase84",0,0,0,0,0,"1984-01-13","6-3","179","L"
"108","L","Anthony","Steven","[TSN] Steven Anthony","Steven Anthony",222,108,"anthost91",0,0,0,0,0,"1991-03-21","6-1","205","L"
"109","L","Antonen","Joose","[TSN] Joose Antonen","Joose Antonen",223,109,"antonjo95",0,0,0,0,0,"1995-04-28","6-1.5","183","R"
"110","D","Antonietti","Eliot","[TSN] Eliot Antonietti","Eliot Antonietti",224,110,"antonel93",0,0,0,0,0,"1993-01-27","6-6","236","R"
"111","RC","Antropov","Nik","[TSN] Nik Antropov","Nik Antropov",225,111,"antroni80",0,0,0,0,0,"1980-02-18","6-6","245","L"
"112","R","Anttila","Marko","[TSN] Marko Anttila","Marko Anttila",229,112,"anttima85",0,0,0,0,0,"1985-05-27","6-7","226","R"
"113","C","Appleton","Mason","[CAP] Mason Appleton","Mason Appleton",230,113,"applema96",NA,NA,NA,NA,NA,"1996-01-15",NA,NA,NA
"114","R","Aquino","Anthony","[TSN] Anthony Aquino","Anthony Aquino",231,114,"aquinan82",0,0,0,0,0,"1982-08-01","5-10","190","R"
"115","CL","Aquino","Luciano","[TSN] Luciano Aquino","Luciano Aquino",232,115,"aquinlu85",0,0,0,0,0,"1985-01-26","5-9","198","L"
"116","L","Archambault","Olivier","[TSN] Olivier Archambault","Olivier Archambault",233,116,"archaol93",0,0,0,0,0,"1993-02-16","5-11","177","L"
"117","D","Archer","Andrew","[TSN] Andrew Archer","Andrew Archer",234,117,"archean83",0,0,0,0,0,"1983-05-15","6-4","213","R"
"118","D","Archibald","Brandon","[TSN] Brandon Archibald","Brandon Archibald",235,118,"archibr92",0,0,0,0,0,"1992-03-31","6-4","200","R"
"119","L","Archibald","Darren","[TSN] Darren Archibald","Darren Archibald",236,119,"archida90",0,0,0,0,0,"1990-02-09","6-3","210","L"
"120","RL","Archibald","Josh","[TSN] Josh Archibald","Josh Archibald",239,120,"archijo92",0,0,0,0,0,"1992-10-06","5-10","181","R"
"121","CR","Arcobello","Mark","[TSN] Mark Arcobello","Mark Arcobello",241,121,"arcobma88",0,0,0,0,0,"1988-08-12","5-8","166","R"
"122","D","Ardelan","Mark","[TSN] Mark Ardelan","Mark Ardelan",246,122,"ardelma83",0,0,0,0,0,"1983-03-16","5-11","202","L"
"123","C","Arkhipov","Denis","[TSN] Denis Arkhipov","Denis Arkhipov",247,123,"arkhide79",0,0,0,0,0,"1979-05-19","6-3","214","L"
"124","R","Armia","Joel","[TSN] Joel Armia","Joel Armia",250,124,"armiajo93",0,0,0,0,0,"1993-05-31","6-3","187","R"
"125","D","Armstrong","Chris","[TSN] Chris Armstrong","Chris Armstrong",253,125,"armstch75",0,0,0,0,0,"1975-06-26","6-0","205","L"
"126","RL","Armstrong","Colby","[TSN] Colby Armstrong","Colby Armstrong",255,126,"armstco82",0,0,0,0,0,"1982-11-23","6-2","185","R"
"127","C","Armstrong","Derek","[TSN] Derek Armstrong","Derek Armstrong",259,127,"armstde73",0,0,0,0,0,"1973-04-23","6-0","197","R"
"128","CR","Armstrong","John","[TSN] John Armstrong","John Armstrong",263,128,"armstjo88",0,0,0,0,0,"1988-02-26","6-2","205","R"
"129","RL","Armstrong","Riley","[TSN] Riley Armstrong","Riley Armstrong",264,129,"armstri84",0,0,0,0,0,"1984-11-08","5-11","185","R"
"130","CL","Arnason","Tyler","[TSN] Tyler Arnason","Tyler Arnason",266,130,"arnasty79",0,0,0,0,0,"1979-03-16","5-11","204","L"
"131","D","Arnesson","Linus","[TSN] Linus Arnesson","Linus Arnesson",269,131,"arnesli94",0,0,0,0,0,"1994-09-21","6-2","187","L"
"132","CR","Arniel","Jamie","[TSN] Jamie Arniel","Jamie Arniel",271,132,"arnieja89",0,0,0,0,0,"1989-11-16","5-11","183","R"
"133","C","Arnold","Bill","[TSN] Bill Arnold","Bill Arnold",273,133,"arnolbi92",0,0,0,0,0,"1992-05-13","6-0","218","R"
"134","R","Arnold","Scott","[TSN] Scott Arnold","Scott Arnold",276,134,"arnolsc89",0,0,0,0,0,"1989-06-23","6-2","195","R"
"135","C","Arnott","Jason","[TSN] Jason Arnott","Jason Arnott",277,135,"arnotja74",0,0,0,0,0,"1974-10-11","6-5","220","R"
"136","D","Aronson","Taylor","[TSN] Taylor Aronson","Taylor Aronson",281,136,"aronsta91",0,0,0,0,0,"1991-12-30","6-1","205","R"
"137","D","Arsene","Dean","[TSN] Dean Arsene","Dean Arsene",283,137,"arsende80",0,0,0,0,0,"1980-07-20","6-2","205","L"
"138","LR","Artyukhin","Evgeny","[TSN] Evgeny Artyukhin","Evgeny Artyukhin",285,138,"artyuev83",0,0,0,0,0,"1983-04-04","6-4","255","L"
"139","L","Arvedson","Magnus","[TSN] Magnus Arvedson","Magnus Arvedson",288,139,"arvedma71",0,0,0,0,0,"1971-11-25","6-2","198","L"
"140","LR","Arvidsson","Viktor","[TSN] Viktor Arvidsson","Viktor Arvidsson",291,140,"arvidvi93",0,0,0,0,0,"1993-04-08","5-9","172","R"
"141","R","Asham","Arron","[TSN] Arron Asham","Arron Asham",294,141,"ashamar78",0,0,0,0,0,"1978-04-13","5-11","210","R"
"142","L","Ashton","Carter","[TSN] Carter Ashton","Carter Ashton",297,142,"ashtoca91",0,0,0,0,0,"1991-04-01","6-3","215","L"
"143","G","Askey","Tom","[TSN] Tom Askey","Tom Askey",300,143,"askeyto74",0,0,0,0,0,"1974-10-04","6-1","195","L"
"144","L","Asperup","Matthias","[TSN] Matthias Asperup","Matthias Asperup",301,144,"asperma95",0,0,0,0,0,"1995-03-03","6-0","170","L"
"145","D","Astashenko","Kaspars","[TSN] Kaspars Astashenko","Kaspars Astashenko",302,145,"astaska75",0,0,0,0,0,"1975-02-17","6-2","183","L"
"146","D","Aston","Peter","[TSN] Peter Aston","Peter Aston",303,146,"astonpe86",0,0,0,0,0,"1986-02-24","6-1","205","R"
"147","L","Athanasiou","Andreas","[TSN] Andreas Athanasiou","Andreas Athanasiou",304,147,"athanan94",0,0,0,0,0,"1994-08-06","6-0","177","L"
"148","D","Atherton","P.J.","[TSN] P.J. Atherton","P.J. Atherton",306,148,"atherpj82",0,0,0,0,0,"1982-08-16","6-1","204","R"
"149","R","Atkinson","Cam","[TSN] Cam Atkinson","Cam Atkinson",307,149,"atkinca89",0,0,0,0,0,"1989-06-05","5-8","174","R"
"150","D","Atyushov","Vitali","[CAP] ATYUSHOV, VITALI","Vitali Atyushov",310,150,"atyusvi79",0,0,0,0,0,"1979-07-04",NA,NA,NA
"151","R","Aube-Kubel","Nicolas","[TSN] Nicolas Aube-Kubel","Nicolas Aube-Kubel",311,151,"aubekni96",0,0,0,0,0,"1996-05-10","5-11","187","R"
"152","R","Aubin","Brent","[TSN] Brent Aubin","Brent Aubin",313,152,"aubinbr86",0,0,0,0,0,"1986-06-18","5-9","181","R"
"153","G","Aubin","J-Sebastien","[TSN] J-Sebastien Aubin","J-Sebastien Aubin",314,153,"aubinjs77",0,0,0,0,0,"1977-07-19","5-11","180","R"
"154","C","Aubin","Mathieu","[TSN] Mathieu Aubin","Mathieu Aubin",318,154,"aubinma86",0,0,0,0,0,"1986-09-18","6-2","202","R"
"155","CL","Aubin","Serge","[TSN] Serge Aubin","Serge Aubin",319,155,"aubinse75",0,0,0,0,0,"1975-02-15","6-1","200","L"
"156","C","Aubry","Louis-Marc","[TSN] Louis-Marc Aubry","Louis-Marc Aubry",321,156,"aubrylo91",0,0,0,0,0,"1991-11-11","6-4","205","L"
"157","D","Aucoin","Adrian","[TSN] Adrian Aucoin","Adrian Aucoin",323,157,"aucoiad73",0,0,0,0,0,"1973-07-03","6-2","215","R"
"158","C","Aucoin","Keith","[TSN] Keith Aucoin","Keith Aucoin",326,158,"aucoike78",0,0,0,0,0,"1978-11-06","5-8","171","R"
"159","C","Audette","Daniel","[CAP] AUDETTE, DANIEL","Daniel Audette",332,159,"audetda96",0,0,0,0,0,"1996-05-06",NA,NA,NA
"160","R","Audette","Donald","[TSN] Donald Audette","Donald Audette",333,160,"audetdo69",0,0,0,0,0,"1969-09-23","5-8","190","R"
"161","R","Auffrey","Matt","[TSN] Matt Auffrey","Matt Auffrey",336,161,"auffrma86",0,0,0,0,0,"1986-01-03","6-2","214","R"
"162","C","Auger","Chris","[TSN] Chris Auger","Chris Auger",337,162,"augerch87",0,0,0,0,0,"1987-12-16","5-10","177","L"
"163","R","Auger","Justin","[TSN] Justin Auger","Justin Auger",338,163,"augerju94",0,0,0,0,0,"1994-05-14","6-6","216","R"
"164","G","Auld","Alex","[TSN] Alex Auld","Alex Auld",340,164,"auldxal81",0,0,0,0,0,"1981-01-07","6-4","215","L"
"165","D","Aulie","Keith","[TSN] Keith Aulie","Keith Aulie",347,165,"aulieke89",0,0,0,0,0,"1989-06-11","6-6","228","L"
"166","C","Aulin","Jared","[TSN] Jared Aulin","Jared Aulin",352,166,"aulinja82",0,0,0,0,0,"1982-03-15","6-0","192","R"
"167","D","Ausmus","Gage","[TSN] Gage Ausmus","Gage Ausmus",354,167,"ausmuga95",0,0,0,0,0,"1995-04-22","6-1","211","L"
"168","D","Austin","Brady","[TSN] Brady Austin","Brady Austin",356,168,"austibr93",0,0,0,0,0,"1993-06-16","6-4","234","L"
"169","LR","Avery","Sean","[TSN] Sean Avery","Sean Avery",358,169,"averyse80",0,0,0,0,0,"1980-04-10","5-10","195","L"
"170","R","Avtsin","Alexander","[TSN] Alexander Avtsin","Alexander Avtsin",362,170,"avtsial91",0,0,0,0,0,"1991-03-19","6-2","198","R"
"171","L","Axelsson","Anton","[TSN] Anton Axelsson","Anton Axelsson",363,171,"axelsan86",0,0,0,0,0,"1986-01-16","6-0","183","L"
"172","L","Axelsson","Dick","[TSN] Dick Axelsson","Dick Axelsson",364,172,"axelsdi87",0,0,0,0,0,"1987-04-25","6-2","198","L"
"173","D","Axelsson","Emil","[TSN] Emil Axelsson","Emil Axelsson",365,173,"axelsem86",0,0,0,0,0,"1986-03-19","6-3","198","L"
"174","L","Axelsson","P.J.","[TSN] P.J. Axelsson","P.J. Axelsson",366,174,"axelspj75",0,0,0,0,0,"1975-02-26","6-1","188","L"
"175","C","Azevedo","Justin","[TSN] Justin Azevedo","Justin Azevedo",370,175,"azeveju88",0,0,0,0,0,"1988-04-01","5-7","175","R"
"176","D","Babchuk","Anton","[TSN] Anton Babchuk","Anton Babchuk",372,176,"babchan84",0,0,0,0,0,"1984-05-06","6-5","200","R"
"177","C","Babenko","Yuri","[TSN] Yuri Babenko","Yuri Babenko",377,177,"babenyu78",0,0,0,0,0,"1978-01-02","6-1","200","L"
"178","D","Babin","Noah","[TSN] Noah Babin","Noah Babin",378,178,"babinno84",0,0,0,0,0,"1984-03-11","6-0","200","R"
"179","G","Bacashihua","Jason","[TSN] Jason Bacashihua","Jason Bacashihua",379,179,"bacasja82",0,0,0,0,0,"1982-09-20","5-11","175","L"
"180","L","Bachman","Karch","[CAP] Karch Bachman","Karch Bachman",384,180,"bachmka97",NA,NA,NA,NA,NA,"1997-03-10",NA,NA,NA
"181","G","Bachman","Richard","[TSN] Richard Bachman","Richard Bachman",385,181,"bachmri87",0,0,0,0,0,"1987-07-25","5-10","176","L"
"182","RC","Backes","David","[TSN] David Backes","David Backes",390,182,"backeda84",0,0,0,0,0,"1984-05-01","6-3","221","R"
"183","G","Backlund","Johan","[TSN] Johan Backlund","Johan Backlund",393,183,"backljo81",0,0,0,0,0,"1981-07-24","6-2","198","L"
