"","pos","last","first","numfirstlast","firstlast","index","player.id","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots"
"13","D","ABELTSHAUSER","KONRAD","[CAP] ABELTSHAUSER, KONRAD","KONRAD ABELTSHAUSER",13,7,"abeltko92",0,0,0,0,0,"1992-09-02","6-5","225","L"
"14","LR","ABERG","PONTUS","[TSN] Pontus Aberg","PONTUS ABERG",14,8,"abergpo93",0,0,0,0,0,"1993-09-23","5-11","189","R"
"15","LR","ABERG","PONTUS","[CAP] ABERG, PONTUS","PONTUS ABERG",15,8,"abergpo93",0,0,0,0,0,"1993-09-23","5-11","189","R"
"16","L","ABID","RAMZI","[TSN] Ramzi Abid","RAMZI ABID",16,9,"abidxra80",0,0,0,0,0,"1980-03-24","6-2","210","L"
"17","L","ABID","RAMZI","34 RAMZI ABID","RAMZI ABID",17,9,"abidxra80",0,33,0,0,0,"1980-03-24","6-2","210","L"
"18","L","ABID","RAMZI","19 RAMZI ABID","RAMZI ABID",18,9,"abidxra80",0,16,0,0,0,"1980-03-24","6-2","210","L"
"19","L","ABID","RAMZI","24 RAMZI ABID","RAMZI ABID",19,9,"abidxra80",0,6,0,0,0,"1980-03-24","6-2","210","L"
"20","L","ABID","RAMZI","14 RAMZI ABID","RAMZI ABID",20,9,"abidxra80",0,15,0,0,0,"1980-03-24","6-2","210","L"
"21","R","ABNEY","CAMERON","[TSN] Cameron Abney","CAMERON ABNEY",21,10,"abneyca91",0,0,0,0,0,"1991-05-23","6-5","200","R"
"22","F","Acciarai","Noel","[CAP] Noel Acciarai","Noel Acciarai",22,11,"acciano91",NA,NA,NA,NA,NA,"1991-12-01",NA,NA,NA
"23","D","ACOLATSE","SENA","[TSN] Sena Acolatse","SENA ACOLATSE",23,12,"acolase90",0,0,0,0,0,"1990-11-28","6-0","200","R"
"24","D","ACOLATSE","SENA","[CAP] ACOLATSE, SENA","SENA ACOLATSE",24,12,"acolase90",0,0,0,0,0,"1990-11-28","6-0","200","R"
"25","C","ACTON","WILL","[TSN] Will Acton","WILL ACTON",25,13,"actonwi87",0,0,0,0,0,"1987-07-16","6-1","199","L"
"26","C","ACTON","WILL","[CAP] ACTON, WILL","WILL ACTON",26,13,"actonwi87",0,0,0,0,0,"1987-07-16","6-1","199","L"
"27","C","ACTON","WILL","41 WILL ACTON","WILL ACTON",27,13,"actonwi87",0,0,66,0,0,"1987-07-16","6-1","199","L"
"28","D","ADAM","AUSTIN","[TSN] Austin Adam","AUSTIN ADAM",28,14,"adamxau95",0,0,0,0,0,"1995-03-07","6-4","187","R"
"29","L","ADAM","LUKE","[TSN] Luke Adam","LUKE ADAM",29,15,"adamxlu90",0,0,0,0,0,"1990-06-18","6-2","206","L"
"30","L","ADAM","LUKE","[CAP] ADAM, LUKE","LUKE ADAM",30,15,"adamxlu90",0,0,0,0,0,"1990-06-18","6-2","206","L"
"31","L","ADAM","LUKE","72 LUKE ADAM","LUKE ADAM",31,15,"adamxlu90",99,0,0,0,0,"1990-06-18","6-2","206","L"
"32","L","ADAM","LUKE","25 LUKE ADAM","LUKE ADAM",32,15,"adamxlu90",6,0,0,0,0,"1990-06-18","6-2","206","L"
"33","L","ADAMS","BRYAN","[TSN] Bryan Adams","BRYAN ADAMS",33,16,"adamsbr77",0,0,0,0,0,"1977-03-20","6-0","185","L"
"34","C","ADAMS","CRAIG","[TSN] Craig Adams","CRAIG ADAMS",34,17,"adamscr77",0,0,0,0,0,"1977-04-26","6-0","200","R"
"35","C","ADAMS","CRAIG","[CAP] ADAMS, CRAIG","CRAIG ADAMS",35,17,"adamscr77",0,0,0,0,0,"1977-04-26","6-0","200","R"
"36","C","ADAMS","CRAIG","27 CRAIG ADAMS","CRAIG ADAMS",36,17,"adamscr77",0,0,1063,0,0,"1977-04-26","6-0","200","R"
"37","C","ADAMS","CRAIG","28 CRAIG ADAMS","CRAIG ADAMS",37,17,"adamscr77",0,0,71,0,0,"1977-04-26","6-0","200","R"
"38","D","ADAMS","JOHN","[TSN] John Adams","JOHN ADAMS",38,18,"adamsjo82",0,0,0,0,0,"1982-12-21","6-2","188","L"
"39","C","ADAMS","KEVYN","[TSN] Kevyn Adams","KEVYN ADAMS",39,19,"adamske74",0,0,0,0,0,"1974-10-08","6-1","200","R"
"40","C","ADAMS","KEVYN","14 KEVYN ADAMS","KEVYN ADAMS",40,19,"adamske74",315,0,0,0,0,"1974-10-08","6-1","200","R"
"41","C","ADAMS","KEVYN","17 KEVYN ADAMS","KEVYN ADAMS",41,19,"adamske74",27,0,0,0,0,"1974-10-08","6-1","200","R"
"42","D","ADAMS","MARK","[TSN] Mark Adams","MARK ADAMS",42,20,"adamsma91",0,0,0,0,0,"1991-05-23","6-3","210","R"
"43","D","ADAMS","MARK","[CAP] ADAMS, MARK","MARK ADAMS",43,20,"adamsma91",0,0,0,0,0,"1991-05-23","6-3","210","R"
"44","L","Addison","Jeremiah","[CAP] Jeremiah Addison","Jeremiah Addison",44,21,"addisje96",NA,NA,NA,NA,NA,"1996-10-21",NA,NA,NA
"45","G","AEBISCHER","DAVID","[TSN] David Aebischer","DAVID AEBISCHER",45,22,"aebisda78",0,0,0,0,0,"1978-02-07","6-1","185","L"
"46","G","AEBISCHER","DAVID","1 DAVID AEBISCHER","DAVID AEBISCHER",46,22,"aebisda78",0,0,0,0,234,"1978-02-07","6-1","185","L"
"47","G","AEBISCHER","DAVID","30 DAVID AEBISCHER","DAVID AEBISCHER",47,22,"aebisda78",0,0,0,0,106,"1978-02-07","6-1","185","L"
"48","G","AEBISCHER","DAVID","1 DAVID (L)  AEBISCHER","DAVID AEBISCHER",48,22,"aebisda78",0,0,0,0,1,"1978-02-07","6-1","185","L"
"49","LR","AFANASENKOV","DIMITRY","[TSN] Dimitry Afanasenkov","DIMITRY AFANASENKOV",49,23,"afanadi80",0,0,0,0,0,"1980-05-12","6-2","209","R"
"50","LR","AFANASENKOV","DIMITRY","29 DIMITRY AFANASENKOV","DIMITRY AFANASENKOV",50,23,"afanadi80",0,200,0,0,0,"1980-05-12","6-2","209","R"
"51","LR","AFANASENKOV","DIMITRY","27 DIMITRY AFANASENKOV","DIMITRY AFANASENKOV",51,23,"afanadi80",0,41,0,0,0,"1980-05-12","6-2","209","R"
"52","R","AFINOGENOV","MAXIM","[TSN] Maxim Afinogenov","MAXIM AFINOGENOV",52,24,"afinoma79",0,0,0,0,0,"1979-09-04","6-0","190","L"
"53","R","AFINOGENOV","MAXIM","61 MAXIM AFINOGENOV","MAXIM AFINOGENOV",53,24,"afinoma79",0,0,458,0,0,"1979-09-04","6-0","190","L"
"54","R","AGARKOV","PAVEL","[CAP] AGARKOV, PAVEL","PAVEL AGARKOV",54,25,"agarkpa75",0,0,0,0,0,"1975-04-23",NA,NA,NA
"55","L","AGOSTINO","KENNY","[TSN] Kenny Agostino","KENNY AGOSTINO",55,26,"agostke92",0,0,0,0,0,"1992-04-30","6-1","200","L"
"56","L","AGOSTINO","KENNY","[CAP] AGOSTINO, KENNETH","KENNY AGOSTINO",56,26,"agostke92",0,0,0,0,0,"1992-04-30","6-1","200","L"
"57","L","AGOSTINO","KENNY","51 KENNY AGOSTINO","KENNY AGOSTINO",57,26,"agostke92",0,16,0,0,0,"1992-04-30","6-1","200","L"
"58","LC","AGOZZINO","ANDREW","[TSN] Andrew Agozzino","ANDREW AGOZZINO",58,27,"agozzan91",0,0,0,0,0,"1991-01-03","5-9","185","L"
"59","LC","AGOZZINO","ANDREW","[CAP] AGOZZINO, ANDREW","ANDREW AGOZZINO",59,27,"agozzan91",0,0,0,0,0,"1991-01-03","5-9","185","L"
"60","LC","AGOZZINO","ANDREW","32 ANDREW AGOZZINO","ANDREW AGOZZINO",60,27,"agozzan91",0,2,0,0,0,"1991-01-03","5-9","185","L"
"61","LC","AGOZZINO","ANDREW","28 ANDREW AGOZZINO","ANDREW AGOZZINO",13386,27,"agozzan91",0,2,0,0,0,"1991-01-03","5-9","185","L"
"62","L","Ahl","Filip","[CAP] Filip Ahl","Filip Ahl",61,28,"ahlxxfi97",NA,NA,NA,NA,NA,"1997-06-12",NA,NA,NA
"63","D","AHNELOV","JONAS","[TSN] Jonas Ahnelov","JONAS AHNELOV",62,29,"ahneljo87",0,0,0,0,0,"1987-12-11","6-2","220","L"
"64","D","AHNELOV","JONAS","[CAP] AHNELOV, JONAS","JONAS AHNELOV",63,29,"ahneljo87",0,0,0,0,0,"1987-12-11","6-2","220","L"
"65","R","Aho","Sebastian","[CAP] Sebastian Aho","Sebastian Aho",64,30,"ahoxxse97",NA,NA,NA,NA,NA,"1997-07-26",NA,NA,NA
"66","G","AHONEN","ARI","31 ARI AHONEN","ARI AHONEN",65,31,"ahonear81",NA,NA,NA,NA,NA,"1981-02-06",NA,NA,NA
"67","D","AIELLO","ANTHONY","[TSN] Anthony Aiello","ANTHONY AIELLO",66,32,"aiellan86",0,0,0,0,0,"1986-05-19","6-1","187","L"
"68","C","AINALI","ALEKSI","[TSN] Aleksi Ainali","ALEKSI AINALI",67,33,"ainalal95",0,0,0,0,0,"1995-04-12","5-11","202","L"
"69","D","AITKEN","JOHNATHAN","[TSN] Johnathan Aitken","JOHNATHAN AITKEN",68,34,"aitkejo78",0,0,0,0,0,"1978-05-24","6-4","230","L"
"70","D","AITKEN","JOHNATHAN","56 JOHNATHAN AITKEN","JOHNATHAN AITKEN",69,34,"aitkejo78",0,0,0,41,0,"1978-05-24","6-4","230","L"
"71","G","AITTOKALLIO","SAMI","[TSN] Sami Aittokallio","SAMI AITTOKALLIO",70,35,"aittosa92",0,0,0,0,0,"1992-08-06","6-1","174","L"
"72","G","AITTOKALLIO","SAMI","[CAP] AITTOKALLIO, SAMI","SAMI AITTOKALLIO",71,35,"aittosa92",0,0,0,0,0,"1992-08-06","6-1","174","L"
"73","G","AITTOKALLIO","SAMI","30 SAMI AITTOKALLIO","SAMI AITTOKALLIO",72,35,"aittosa92",0,0,0,0,7,"1992-08-06","6-1","174","L"
"74","G","AITTOKALLIO","SAMI","74 SAMI AITTOKALLIO","SAMI AITTOKALLIO",73,35,"aittosa92",0,0,0,0,2,"1992-08-06","6-1","174","L"
"75","G","AKERLUND","MAGNUS","[TSN] Magnus Akerlund","MAGNUS AKERLUND",74,36,"akerlma86",0,0,0,0,0,"1986-04-25","6-1","183","R"
"76","R","AKESON","JASON","[TSN] Jason Akeson","JASON AKESON",75,37,"akesoja90",0,0,0,0,0,"1990-06-03","5-10","190","R"
"77","R","AKESON","JASON","[CAP] AKESON, JASON","JASON AKESON",76,37,"akesoja90",0,0,0,0,0,"1990-06-03","5-10","190","R"
"78","R","AKESON","JASON","42 JASON AKESON","JASON AKESON",77,37,"akesoja90",0,0,43,0,0,"1990-06-03","5-10","190","R"
"79","R","ALATALO","MIKA","[TSN] Mika Alatalo","MIKA ALATALO",78,38,"alatami71",0,0,0,0,0,"1971-06-11","6-0","202","L"
"80","D","ALBELIN","TOMMY","[TSN] Tommy Albelin","TOMMY ALBELIN",79,39,"albelto64",0,0,0,0,0,"1964-05-21","6-2","195","L"
"81","D","ALBELIN","TOMMY","6 TOMMY ALBELIN","TOMMY ALBELIN",80,39,"albelto64",0,0,0,139,0,"1964-05-21","6-2","195","L"
"82","D","ALBERS","PAUL","[TSN] Paul Albers","PAUL ALBERS",81,40,"alberpa85",0,0,0,0,0,"1985-10-15","6-1","189","L"
"83","C","ALBERT","JOHN","[TSN] John Albert","JOHN ALBERT",82,41,"alberjo89",0,0,0,0,0,"1989-01-19","5-11","190","L"
"84","C","ALBERT","JOHN","[CAP] ALBERT, JOHN","JOHN ALBERT",83,41,"alberjo89",0,0,0,0,0,"1989-01-19","5-11","190","L"
"85","C","ALBERT","JOHN","70 JOHN ALBERT","JOHN ALBERT",84,41,"alberjo89",18,0,0,0,0,"1989-01-19","5-11","190","L"
"86","D","ALBERTS","ANDREW","[TSN] Andrew Alberts","ANDREW ALBERTS",85,42,"alberan81",0,0,0,0,0,"1981-06-30","6-5","218","L"
"87","D","ALBERTS","ANDREW","41 ANDREW ALBERTS","ANDREW ALBERTS",86,42,"alberan81",0,0,0,499,0,"1981-06-30","6-5","218","L"
"88","L","ALCEN","JOHAN","[TSN] Johan Alcen","JOHAN ALCEN",87,43,"alcenjo88",0,0,0,0,0,"1988-03-11","6-1","189","L"
"89","R","ALDERSON","BRANDON","[TSN] Brandon Alderson","BRANDON ALDERSON",88,44,"alderbr92",0,0,0,0,0,"1992-01-22","6-4","190","R"
"90","R","ALDERSON","BRANDON","[CAP] ALDERSON, BRANDON","BRANDON ALDERSON",89,44,"alderbr92",0,0,0,0,0,"1992-01-22","6-4","190","R"
"91","D","ALDRIDGE","KEITH","[TSN] Keith Aldridge","KEITH ALDRIDGE",90,45,"aldrike73",0,0,0,0,0,"1973-07-20","5-11","185","R"
"92","R","ALDWORTH","THOMAS","[TSN] Thomas Aldworth","THOMAS ALDWORTH",91,46,"aldwoth95",0,0,0,0,0,"1995-04-30","6-0","179","R"
"93","D","ALEN","JUHA","[TSN] Juha Alen","JUHA ALEN",92,47,"alenxju81",0,0,0,0,0,"1981-10-25","6-4","218","L"
"94","D","ALEXANDROV","DENIS","[TSN] Denis Alexandrov","DENIS ALEXANDROV",93,48,"alexade95",0,0,0,0,0,"1995-01-17","6-0","191","L"
"95","R","ALEXANDROV","VIKTOR","[TSN] Victor Alexandrov","VIKTOR ALEXANDROV",94,49,"alexavi85",0,0,0,0,0,"1985-12-28","5-11","183","L"
"96","R","ALEXANDROV","VIKTOR","[CAP] ALEXANDROV, VIKTOR","VIKTOR ALEXANDROV",95,49,"alexavi85",0,0,0,0,0,"1985-12-28","5-11","183","L"
"97","D","ALEXANDROV","YURI","[TSN] Yuri Alexandrov","YURI ALEXANDROV",96,50,"alexayu88",0,0,0,0,0,"1988-06-24","6-0","185","L"
"98","RL","ALEXEEV","NIKITA","[TSN] Nikita Alexeev","NIKITA ALEXEEV",97,51,"alexeni81",0,0,0,0,0,"1981-12-27","6-5","227","L"
"99","RL","ALEXEEV","NIKITA","15 NIKITA ALEXEEV","NIKITA ALEXEEV",98,51,"alexeni81",0,0,111,0,0,"1981-12-27","6-5","227","L"
"100","RL","ALEXEEV","NIKITA","34 NIKITA ALEXEEV","NIKITA ALEXEEV",99,51,"alexeni81",0,0,15,0,0,"1981-12-27","6-5","227","L"
"101","R","ALFREDSSON","DANIEL","[TSN] Daniel Alfredsson","DANIEL ALFREDSSON",100,52,"alfreda72",0,0,0,0,0,"1972-12-11","5-11","203","R"
"102","R","ALFREDSSON","DANIEL","11 DANIEL ALFREDSSON","DANIEL ALFREDSSON",101,52,"alfreda72",0,0,912,0,0,"1972-12-11","5-11","203","R"
"103","R","ALIU","AKIM","[TSN] Akim Aliu","AKIM ALIU",102,53,"aliuxak89",0,0,0,0,0,"1989-04-24","6-4","225","R"
"104","R","ALIU","AKIM","29 AKIM ALIU","AKIM ALIU",103,53,"aliuxak89",0,0,7,0,0,"1989-04-24","6-4","225","R"
"105","C","ALLARD","JEAN-SIMON","[TSN] Jean-Simon Allard","JEAN-SIMON ALLARD",104,54,"allarje89",0,0,0,0,0,"1989-05-24","6-2","186","R"
"106","D","ALLEN","BOBBY","[TSN] Bobby Allen","BOBBY ALLEN",105,55,"allenbo78",0,0,0,0,0,"1978-11-14","6-0","201","L"
"107","D","ALLEN","BOBBY","12 BOBBY ALLEN","BOBBY ALLEN",106,55,"allenbo78",0,0,0,1,0,"1978-11-14","6-0","201","L"
"108","D","ALLEN","BOBBY","38 BOBBY ALLEN","BOBBY ALLEN",107,55,"allenbo78",0,0,0,50,0,"1978-11-14","6-0","201","L"
"109","D","ALLEN","BRYAN","[TSN] Bryan Allen","BRYAN ALLEN",108,56,"allenbr80",0,0,0,0,0,"1980-08-21","6-5","224","L"
"110","D","ALLEN","BRYAN","[CAP] ALLEN, BRYAN","BRYAN ALLEN",109,56,"allenbr80",0,0,0,0,0,"1980-08-21","6-5","224","L"
"111","D","ALLEN","BRYAN","5 BRYAN ALLEN","BRYAN ALLEN",110,56,"allenbr80",0,0,0,596,0,"1980-08-21","6-5","224","L"
"112","D","ALLEN","BRYAN","55 BRYAN ALLEN","BRYAN ALLEN",111,56,"allenbr80",0,0,0,210,0,"1980-08-21","6-5","224","L"
"113","D","ALLEN","BRYAN","6 BRYAN ALLEN","BRYAN ALLEN",112,56,"allenbr80",0,0,0,10,0,"1980-08-21","6-5","224","L"
"114","D","ALLEN","CONOR","[TSN] Conor Allen","CONOR ALLEN",113,57,"allenco90",0,0,0,0,0,"1990-01-31","6-1","210","L"
"115","D","ALLEN","CONOR","[CAP] ALLEN, CONOR","CONOR ALLEN",114,57,"allenco90",0,0,0,0,0,"1990-01-31","6-1","210","L"
"116","D","ALLEN","CONOR","37 CONOR ALLEN","CONOR ALLEN",115,57,"allenco90",0,0,0,14,0,"1990-01-31","6-1","210","L"
"117","C","ALLEN","EVAN","[TSN] Evan Allen","EVAN ALLEN",116,58,"allenev95",0,0,0,0,0,"1995-02-03","5-10","200","R"
"118","G","ALLEN","JAKE","[TSN] Jake Allen","JAKE ALLEN",117,59,"allenja90",0,0,0,0,0,"1990-08-07","6-2","195","L"
"119","G","ALLEN","JAKE","[CAP] ALLEN, JAKE","JAKE ALLEN",118,59,"allenja90",0,0,0,0,0,"1990-08-07","6-2","195","L"
"120","G","ALLEN","JAKE","34 JAKE ALLEN","JAKE ALLEN",119,59,"allenja90",0,0,0,0,259,"1990-08-07","6-2","195","L"
"121","D","ALLISON","JAMIE","[TSN] Jamie Allison","JAMIE ALLISON",120,60,"allisja750513",0,0,0,0,0,"1975-05-13","6-1","210","L"
"122","D","ALLISON","JAMIE","33 JAMIE ALLISON","JAMIE ALLISON",121,60,"allisja750513",0,0,0,50,0,"1975-05-13","6-1","210","L"
"123","D","ALLISON","JAMIE","23 JAMIE ALLISON","JAMIE ALLISON",122,60,"allisja750513",0,0,0,66,1,"1975-05-13","6-1","210","L"
"124","C","ALLISON","JASON","[TSN] Jason Allison","JASON ALLISON",123,61,"allisja750529",0,0,0,0,0,"1975-05-29","6-3","215","R"
"125","C","ALLISON","JASON","41 JASON ALLISON","JASON ALLISON",124,61,"allisja750529",83,0,0,0,0,"1975-05-29","6-3","215","R"
"126","D","ALM","JOHAN","[TSN] Johan Alm","JOHAN ALM",125,62,"almxxjo92",0,0,0,0,0,"1992-01-28","6-3","209","L"
"127","D","ALM","JOHAN","[CAP] ALM, JOHAN","JOHAN ALM",126,62,"almxxjo92",0,0,0,0,0,"1992-01-28","6-3","209","L"
"128","CL","ALMOND","CODY","[TSN] Cody Almond","CODY ALMOND",127,63,"almonco89",0,0,0,0,0,"1989-07-24","6-2","199","L"
"129","CL","ALMOND","CODY","[CAP] ALMOND, CODY","CODY ALMOND",128,63,"almonco89",0,0,0,0,0,"1989-07-24","6-2","199","L"
"130","CL","ALMOND","CODY","23 CODY ALMOND","CODY ALMOND",129,63,"almonco89",7,0,0,0,0,"1989-07-24","6-2","199","L"
"131","CL","ALMOND","CODY","27 CODY ALMOND","CODY ALMOND",130,63,"almonco89",18,0,0,0,0,"1989-07-24","6-2","199","L"
"132","D","ALMQUIST","ADAM","[TSN] Adam Almquist","ADAM ALMQUIST",131,64,"almquad91",0,0,0,0,0,"1991-02-27","5-11","174","L"
"133","D","ALMQUIST","ADAM","[CAP] ALMQVIST, ADAM","ADAM ALMQUIST",132,64,"almquad91",0,0,0,0,0,"1991-02-27","5-11","174","L"
"134","D","ALMQUIST","ADAM","53 ADAM ALMQUIST","ADAM ALMQUIST",133,64,"almquad91",0,0,0,4,0,"1991-02-27","5-11","174","L"
"135","C","ALMTORP","JONAS","[TSN] Jonas Almtorp","JONAS ALMTORP",134,65,"almtojo83",0,0,0,0,0,"1983-11-17","6-1","189","L"
"136","D","ALT","MARK","[TSN] Mark Alt","MARK ALT",135,66,"altxxma91",0,0,0,0,0,"1991-10-18","6-4","201","R"
"137","D","ALT","MARK","[CAP] ALT, MARK","MARK ALT",136,66,"altxxma91",0,0,0,0,0,"1991-10-18","6-4","201","R"
"138","D","ALT","MARK","39 MARK ALT","MARK ALT",137,66,"altxxma91",0,0,0,2,0,"1991-10-18","6-4","201","R"
"139","L","ALTAREV","DIMITRI","[CAP] ALTAREV, DIMITRI","DIMITRI ALTAREV",138,67,"altardi80",0,0,0,0,0,"1980-08-12",NA,NA,NA
"140","G","ALTSHULLER","DANIEL","[TSN] Daniel Altshuller","DANIEL ALTSHULLER",139,68,"altshda94",0,0,0,0,0,"1994-07-24","6-3","191","L"
"141","G","ALTSHULLER","DANIEL","[CAP] ALTSHULLER, DANIEL","DANIEL ALTSHULLER",140,68,"altshda94",0,0,0,0,0,"1994-07-24","6-3","191","L"
"142","G","ALTSHULLER","DANIEL","40 DANIEL ALTSHULLER","DANIEL ALTSHULLER",13444,68,"altshda94",0,0,0,0,4,"1994-07-24","6-3","191","L"
"143","D","ALZNER","KARL","[TSN] Karl Alzner","KARL ALZNER",141,69,"alzneka88",0,0,0,0,0,"1988-09-24","6-2","217","L"
"144","D","ALZNER","KARL","[CAP] ALZNER, KARL","KARL ALZNER",142,69,"alzneka88",0,0,0,0,0,"1988-09-24","6-2","217","L"
"145","D","ALZNER","KARL","47 KARL ALZNER","KARL ALZNER",143,69,"alzneka88",0,0,0,1,0,"1988-09-24","6-2","217","L"
"146","D","ALZNER","KARL","27 KARL ALZNER","KARL ALZNER",144,69,"alzneka88",0,0,0,694,0,"1988-09-24","6-2","217","L"
"147","D","AMADIO","GREG","[TSN] Greg Amadio","GREG AMADIO",145,70,"amadigr81",0,0,0,0,0,"1981-05-13","6-2","225","L"
"148","C","AMADIO","MICHAEL","[TSN] Michael Amadio","MICHAEL AMADIO",146,71,"amadimi96",0,0,0,0,0,"1996-05-13","6-1","190","R"
"149","C","AMADIO","MICHAEL","[CAP] AMADIO, MICHAEL","MICHAEL AMADIO",147,71,"amadimi96",0,0,0,0,0,"1996-05-13","6-1","190","R"
"150","R","AMBROZ","SETH","[TSN] Seth Ambroz","SETH AMBROZ",148,72,"ambrose93",0,0,0,0,0,"1993-04-03","6-2","209","R"
"151","R","AMBROZ","SETH","[CAP] AMBROZ, SETH","SETH AMBROZ",149,72,"ambrose93",0,0,0,0,0,"1993-04-03","6-2","209","R"
"152","R","AMBUHL","ANDRES","[TSN] Andres Ambuhl","ANDRES AMBUHL",150,73,"ambuhan83",0,0,0,0,0,"1983-09-14","5-10","190","R"
"153","R","AMONTE","TONY","[TSN] Tony Amonte","TONY AMONTE",151,74,"amontto70",0,0,0,0,0,"1970-08-02","6-0","200","L"
"154","R","AMONTE","TONY","10 TONY AMONTE","TONY AMONTE",152,74,"amontto70",0,0,223,0,0,"1970-08-02","6-0","200","L"
"155","R","AMONTE","TONY","11 TONY AMONTE","TONY AMONTE",153,74,"amontto70",0,0,122,0,0,"1970-08-02","6-0","200","L"
"156","D","AMOROSA","TERRANCE","[TSN] Terrance Amorosa","TERRANCE AMOROSA",154,75,"amorote94",0,0,0,0,0,"1994-11-13","6-1","185","L"
"157","D","AMOROSA","TERRANCE","[CAP] AMOROSA, TERRANCE","TERRANCE AMOROSA",155,75,"amorote94",0,0,0,0,0,"1994-11-13","6-1","185","L"
"158","G","ANDERSEN","FREDERIK","[TSN] Frederik Andersen","FREDERIK ANDERSEN",156,76,"anderfr89",0,0,0,0,0,"1989-10-02","6-4","230","L"
"159","G","ANDERSEN","FREDERIK","[CAP] ANDERSEN, FREDERIK","FREDERIK ANDERSEN",157,76,"anderfr89",0,0,0,0,0,"1989-10-02","6-4","230","L"
"160","G","ANDERSEN","FREDERIK","31 FREDERIK ANDERSEN","FREDERIK ANDERSEN",158,76,"anderfr89",0,0,0,0,369,"1989-10-02","6-4","230","L"
"161","D","ANDERSEN","NICLAS","[TSN] Niclas Andersen","NICLAS ANDERSEN",159,77,"anderni88",0,0,0,0,0,"1988-04-28","6-1","207","L"
"162","G","ANDERSON","BRANDON","[TSN] Brandon Anderson","BRANDON ANDERSON",160,78,"anderbr92",0,0,0,0,0,"1992-07-13","6-0","183","L"
"163","G","ANDERSON","BRANDON","[CAP] ANDERSON, BRANDON","BRANDON ANDERSON",161,78,"anderbr92",0,0,0,0,0,"1992-07-13","6-0","183","L"
"164","D","ANDERSON","CHAD","[TSN] Chad Anderson","CHAD ANDERSON",162,79,"anderch82",0,0,0,0,0,"1982-06-16","6-4","217","R"
"165","G","ANDERSON","CRAIG","[TSN] Craig Anderson","CRAIG ANDERSON",163,80,"andercr81",0,0,0,0,0,"1981-05-21","6-2","184","L"
"166","G","ANDERSON","CRAIG","[CAP] ANDERSON, CRAIG","CRAIG ANDERSON",164,80,"andercr81",0,0,0,0,0,"1981-05-21","6-2","184","L"
"167","G","ANDERSON","CRAIG","31 CRAIG ANDERSSON","CRAIG ANDERSON",165,80,"andercr81",0,0,0,0,4,"1981-05-21","6-2","184","L"
"168","G","ANDERSON","CRAIG","31 CRAIG ANDERSON","CRAIG ANDERSON",166,80,"andercr81",0,0,0,0,314,"1981-05-21","6-2","184","L"
"169","G","ANDERSON","CRAIG","45 CRAIG ANDERSON","CRAIG ANDERSON",167,80,"andercr81",0,0,0,0,1,"1981-05-21","6-2","184","L"
"170","G","ANDERSON","CRAIG","31 CRAIG (L)  ANDERSON","CRAIG ANDERSON",168,80,"andercr81",0,0,0,0,2,"1981-05-21","6-2","184","L"
"171","G","ANDERSON","CRAIG","41 CRAIG ANDERSON","CRAIG ANDERSON",169,80,"andercr81",0,0,0,0,604,"1981-05-21","6-2","184","L"
